Order_ID,Pasta,Salad,Pizza,Burger,Fries,Garlic Bread,Coke,Pepsi,Ice Cream
1,1,1,0,0,0,1,0,0,0
2,1,0,1,1,0,0,1,0,0
3,0,1,1,0,0,1,0,1,1
4,1,1,0,1,0,0,1,0,0
5,0,1,1,0,1,0,0,0,1
6,1,0,0,1,1,1,0,0,0
7,0,1,0,0,0,1,1,0,1
8,1,0,1,1,1,0,0,1,0
9,0,0,1,0,1,1,0,1,0
10,1,1,0,1,0,0,1,0,0
11,0,0,1,0,1,0,1,1,1
12,1,1,0,0,1,1,0,0,0
13,0,1,1,1,0,0,0,0,1
14,1,0,0,1,1,1,0,1,0
15,0,1,0,0,0,1,1,0,1
16,1,0,1,0,1,0,0,1,0
17,0,1,0,1,0,1,0,0,1
18,1,0,1,1,0,0,1,0,0
19,0,0,1,0,1,1,0,1,1
20,1,1,0,0,1,0,1,0,0
21,0,1,1,1,0,0,0,0,1
22,1,0,0,0,1,1,0,1,0
23,0,1,0,0,0,1,1,0,1
24,1,0,1,1,0,0,0,1,0
25,0,1,1,0,1,0,1,0,0
